source,source_bias,negative,neutral,positive
NBC News,-2.1,41.711229946524064,37.16577540106952,21.12299465240642
Fox News,2.0,52.42914979757085,30.364372469635626,17.20647773279352
Breitbart News,2.9,65.53079947575361,18.2175622542595,16.25163826998689
CNN,-2.2,46.30681818181818,33.52272727272727,20.170454545454543
Politico,-3.5,53.38983050847458,28.8135593220339,17.796610169491526
The Washington Post,-3.7,59.375,28.645833333333332,11.979166666666668
CBS News,-1.6,44.11764705882353,46.32352941176471,9.558823529411764
Al Jazeera English,-4.4,57.650273224043715,32.51366120218579,9.836065573770492
USA Today,-1.3,41.61073825503356,31.20805369127517,27.181208053691275
